epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25138,0.82361,2.56224,1.28085,0,0,0,0,0.54502,2.90255,1.12609,0,0,0
2,8.90673,1.0806,2.94953,1.61583,0,0,0,0,0.55169,2.90296,1.10618,1.9604e-05,1.9604e-05,1.9604e-05
3,9.64129,0.94085,2.71501,1.4293,0,0,0,0,0.55714,2.90473,1.11352,3.8416e-05,3.8416e-05,3.8416e-05
4,10.3632,0.88025,2.72831,1.45977,0,0,0,0,0.5563,2.90867,1.09351,5.6436e-05,5.6436e-05,5.6436e-05
5,11.3274,0.9464,2.68119,1.44427,0,0,0,0,0.44494,2.89848,0.98459,7.3664e-05,7.3664e-05,7.3664e-05
6,12.1244,0.75766,2.48409,1.24967,0,0,0,0,0.3642,2.85143,0.91568,9.01e-05,9.01e-05,9.01e-05
7,12.8838,0.68455,2.70533,1.33389,0,0,0,0,0.36254,2.85459,0.91507,0.000105744,0.000105744,0.000105744
8,13.7089,0.69942,2.53261,1.24083,0,0,0,0,0.37173,2.83548,0.8941,0.000120596,0.000120596,0.000120596
9,14.5033,0.7846,2.20469,1.28125,0,0,0,0,0.36295,2.83427,0.92379,0.000134656,0.000134656,0.000134656
10,15.2632,0.73434,1.97649,1.23242,0,0,0,0,0.36697,2.83164,0.89755,0.000147924,0.000147924,0.000147924
11,16.0413,0.64639,1.91895,1.08686,0,0,0,0,0.3993,2.77929,0.91407,0.0001604,0.0001604,0.0001604
12,16.7847,0.7771,1.7546,1.15526,0,0,0,0,0.43435,2.71273,0.96168,0.000172084,0.000172084,0.000172084
13,17.5713,0.64765,1.49773,1.1644,0,0,0,0,0.42791,2.63512,0.93762,0.000182976,0.000182976,0.000182976
14,18.3728,0.58343,1.36338,1.13669,0,0,0,0,0.40819,2.49998,0.8993,0.000193076,0.000193076,0.000193076
15,19.1716,0.66449,1.18936,1.11374,1,0.33333,0.66665,0.59999,0.36119,2.46501,0.86397,0.000202384,0.000202384,0.000202384
16,19.9404,0.59097,1.24316,1.22743,1,0.33333,0.66665,0.59999,0.39002,2.5242,0.91524,0.0002109,0.0002109,0.0002109
17,20.7578,0.57489,1.02289,1.05766,1,0.33333,0.66665,0.59999,0.46393,2.54273,0.98855,0.000218624,0.000218624,0.000218624
18,21.4813,0.67906,1.06555,1.15956,1,0.33333,0.66665,0.59999,0.46393,2.54273,0.98855,0.000225556,0.000225556,0.000225556
19,22.2646,0.56359,0.97199,1.02894,1,0.33333,0.66665,0.59999,0.46136,2.55015,1.03289,0.000231696,0.000231696,0.000231696
20,22.9742,0.52002,0.88749,1.05878,1,0.33333,0.66665,0.59999,0.46136,2.55015,1.03289,0.000237044,0.000237044,0.000237044
21,23.7618,0.52225,0.9348,0.99934,1,0.33333,0.66665,0.66665,0.45279,2.45475,1.04477,0.0002416,0.0002416,0.0002416
22,24.4935,0.49986,0.88257,1.04439,1,0.33333,0.66665,0.66665,0.45279,2.45475,1.04477,0.000245364,0.000245364,0.000245364
23,25.3887,0.54137,1.06634,1.08458,1,0.33333,0.66665,0.66665,0.41786,2.28717,0.97599,0.000248336,0.000248336,0.000248336
24,26.3237,0.53658,1.05992,1.10135,1,0.33333,0.66665,0.66665,0.41786,2.28717,0.97599,0.000250516,0.000250516,0.000250516
25,27.1814,0.4734,0.93614,0.98129,1,0.66667,0.8333,0.80005,0.44056,2.25473,1.00331,0.000251904,0.000251904,0.000251904
26,27.9514,0.66195,1.01523,1.14542,1,0.66667,0.8333,0.80005,0.44056,2.25473,1.00331,0.0002525,0.0002525,0.0002525
27,28.6822,0.57606,1.0267,1.09325,1,0.66667,0.8333,0.74997,0.48348,2.21253,1.03631,0.000252304,0.000252304,0.000252304
28,29.3558,0.64998,1.42161,1.10502,1,0.66667,0.8333,0.74997,0.48348,2.21253,1.03631,0.000251316,0.000251316,0.000251316
29,30.0667,0.60802,0.93264,1.02504,1,0.66667,0.8333,0.74997,0.47074,2.14518,1.03117,0.000249536,0.000249536,0.000249536
30,30.7188,0.59802,0.94822,1.07066,1,0.66667,0.8333,0.74997,0.47074,2.14518,1.03117,0.000246964,0.000246964,0.000246964
31,31.4618,0.49253,0.958,1.05467,1,0.66667,0.8333,0.80005,0.50841,2.13143,1.07613,0.0002436,0.0002436,0.0002436
32,32.1337,0.43948,0.84348,0.95119,1,0.66667,0.8333,0.80005,0.50841,2.13143,1.07613,0.000239444,0.000239444,0.000239444
33,32.894,0.43168,0.95459,0.98712,1,1,0.995,0.91828,0.52544,2.06933,1.10396,0.000234496,0.000234496,0.000234496
34,33.5918,0.48677,0.91851,1.01816,1,1,0.995,0.91828,0.52544,2.06933,1.10396,0.000228756,0.000228756,0.000228756
35,34.33,0.47275,0.88154,1.04698,1,1,0.995,0.91828,0.56146,2.05447,1.12176,0.000222224,0.000222224,0.000222224
