epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20712,2.29255,2.78726,2.71588,0,0,0,0,1.94698,3.24046,3.81996,0,0,0
2,2.76821,1.75186,2.82285,2.38104,0,0,0,0,1.93362,3.26034,3.84003,1.9604e-05,1.9604e-05,1.9604e-05
3,3.31539,1.48625,3.049,1.94441,0,0,0,0,1.93934,3.30393,3.85174,3.8416e-05,3.8416e-05,3.8416e-05
4,3.82757,1.93798,2.67328,2.24389,0,0,0,0,1.97167,3.27895,3.92911,5.6436e-05,5.6436e-05,5.6436e-05
5,4.49672,1.87728,2.80806,2.40187,0,0,0,0,2.02027,3.23667,3.58992,7.3664e-05,7.3664e-05,7.3664e-05
6,5.23003,1.905,2.95077,2.31027,0,0,0,0,2.02282,3.22744,3.6185,9.01e-05,9.01e-05,9.01e-05
7,5.91679,1.92241,3.27951,2.46832,0,0,0,0,2.03315,3.23102,3.64978,0.000105744,0.000105744,0.000105744
8,6.64951,1.54429,3.11364,2.2564,0,0,0,0,1.99923,3.33775,3.53662,0.000120596,0.000120596,0.000120596
9,7.37244,1.97167,2.74458,2.31185,0,0,0,0,1.83146,3.40898,3.46291,0.000134656,0.000134656,0.000134656
10,8.12515,1.47675,2.70856,1.96091,0,0,0,0,1.76864,3.26931,3.0382,0.000147924,0.000147924,0.000147924
11,8.83729,1.51637,2.36791,1.88099,0,0,0,0,1.71957,3.47856,2.97897,0.0001604,0.0001604,0.0001604
12,9.59247,1.60641,2.2646,1.93445,0,0,0,0,1.69525,3.47036,2.94239,0.000172084,0.000172084,0.000172084
13,10.2824,1.63921,2.52233,1.92996,0,0,0,0,1.82767,3.31701,3.20522,0.000182976,0.000182976,0.000182976
14,10.9613,1.82157,2.46188,2.3158,0,0,0,0,1.86581,3.27637,3.08505,0.000193076,0.000193076,0.000193076
15,11.7154,1.74701,2.62063,2.10381,0,0,0,0,1.9049,3.2196,3.02042,0.000202384,0.000202384,0.000202384
16,12.4715,1.63563,1.9695,1.90798,0,0,0,0,1.86842,3.19098,3.10971,0.0002109,0.0002109,0.0002109
17,13.1659,1.88603,2.28766,2.02988,0,0,0,0,1.96599,3.44661,3.0768,0.000218624,0.000218624,0.000218624
18,13.8686,1.58175,2.17871,1.91784,0,0,0,0,1.96599,3.44661,3.0768,0.000225556,0.000225556,0.000225556
19,14.6357,1.53516,1.95627,1.94766,0,0,0,0,1.9237,3.30799,2.90095,0.000231696,0.000231696,0.000231696
20,15.3388,1.74277,1.95666,1.91654,0,0,0,0,1.9237,3.30799,2.90095,0.000237044,0.000237044,0.000237044
21,16.0732,1.4446,1.90446,1.88689,0,0,0,0,1.65095,3.3813,2.47096,0.0002416,0.0002416,0.0002416
22,16.7725,1.45407,1.65154,1.72623,0,0,0,0,1.65095,3.3813,2.47096,0.000245364,0.000245364,0.000245364
23,17.4676,1.44267,1.56498,1.74459,0,0,0,0,1.61944,3.44366,2.70102,0.000248336,0.000248336,0.000248336
24,18.1732,1.52581,2.24441,1.97038,0,0,0,0,1.61944,3.44366,2.70102,0.000250516,0.000250516,0.000250516
25,18.9194,1.59944,1.79898,1.80037,0,0,0,0,1.82213,3.326,2.81975,0.000251904,0.000251904,0.000251904
26,19.581,1.71163,1.90699,1.87896,0,0,0,0,1.82213,3.326,2.81975,0.0002525,0.0002525,0.0002525
27,20.354,1.61051,1.74655,1.69586,0,0,0,0,1.7165,3.19767,2.83422,0.000252304,0.000252304,0.000252304
28,20.9946,1.02049,1.71531,1.63569,0,0,0,0,1.7165,3.19767,2.83422,0.000251316,0.000251316,0.000251316
29,21.7076,1.4069,1.61153,1.63637,0,0,0,0,1.75359,3.19962,2.86693,0.000249536,0.000249536,0.000249536
30,22.4277,1.35861,1.80193,1.73348,0,0,0,0,1.75359,3.19962,2.86693,0.000246964,0.000246964,0.000246964
31,23.1927,1.30986,2.13705,1.78571,0,0,0,0,1.76331,3.1497,2.83621,0.0002436,0.0002436,0.0002436
32,23.9041,1.43306,2.21647,1.85323,0,0,0,0,1.76331,3.1497,2.83621,0.000239444,0.000239444,0.000239444
33,24.659,1.53887,2.05384,1.91503,0,0,0,0,1.6586,3.11595,2.75355,0.000234496,0.000234496,0.000234496
34,25.3748,1.43858,1.81066,1.76215,0,0,0,0,1.6586,3.11595,2.75355,0.000228756,0.000228756,0.000228756
35,26.1708,1.18355,1.69964,1.67138,0,0,0,0,1.61737,3.08489,2.63036,0.000222224,0.000222224,0.000222224
36,26.8684,1.6811,2.05272,2.05556,0,0,0,0,1.61737,3.08489,2.63036,0.0002149,0.0002149,0.0002149
37,27.6297,1.36305,1.49164,1.55858,0,0,0,0,1.45965,3.07865,2.36412,0.000206784,0.000206784,0.000206784
38,28.3349,1.39751,1.64882,1.68259,0,0,0,0,1.45965,3.07865,2.36412,0.000197876,0.000197876,0.000197876
39,29.0971,1.09588,1.5144,1.52113,0,0,0,0,1.32678,3.03272,2.20543,0.000188176,0.000188176,0.000188176
40,29.819,1.21226,1.51783,1.53219,0,0,0,0,1.32678,3.03272,2.20543,0.000177684,0.000177684,0.000177684
41,35.999,1.30203,2.58499,2.03242,0,0,0,0,1.20082,2.90213,2.07177,0.0001664,0.0001664,0.0001664
42,36.739,1.15949,2.57682,1.81943,0,0,0,0,1.20082,2.90213,2.07177,0.000154324,0.000154324,0.000154324
43,37.4976,1.55591,2.55144,2.40562,0,0,0,0,1.15353,2.77307,1.99408,0.000141456,0.000141456,0.000141456
44,38.162,1.30608,2.47039,1.91603,0,0,0,0,1.15353,2.77307,1.99408,0.000127796,0.000127796,0.000127796
45,38.8749,1.1213,2.34009,1.67998,0,0,0,0,1.06986,2.70302,1.84665,0.000113344,0.000113344,0.000113344
46,39.5389,1.32889,2.47483,2.04184,0,0,0,0,1.06986,2.70302,1.84665,9.81e-05,9.81e-05,9.81e-05
47,40.2635,1.01001,2.16982,1.45801,0,0,0,0,1.00881,2.6652,1.82294,8.2064e-05,8.2064e-05,8.2064e-05
